,0
0,1.0
1,1.0
2,1.0
3,4.0
4,2.0
5,4.0
6,1.0
7,1.0
8,4.0
9,2.0
10,4.0
11,6.0
12,3.0
13,4.0
14,4.0
15,4.0
16,4.0
17,2.0
18,1.0
19,2.0
20,3.0
21,4.0
22,3.0
23,4.0
24,4.0
25,4.0
26,5.0
27,1.0
28,4.0
29,4.0
30,2.0
31,5.0
32,5.0
33,1.0
34,2.0
35,4.0
36,2.0
37,3.0
38,1.0
39,1.0
40,5.0
41,5.0
42,3.0
43,5.0
44,6.0
45,4.0
46,3.0
47,3.0
48,2.0
49,2.0
50,4.0
51,4.0
52,4.0
53,1.0
54,3.0
55,2.0
56,3.0
57,5.0
58,1.0
59,5.0
60,5.0
61,1.0
62,2.0
63,4.0
64,3.0
65,1.0
66,2.0
67,1.0
68,4.0
69,1.0
70,2.0
71,1.0
72,3.0
73,1.0
74,7.0
75,1.0
76,4.0
77,4.0
78,1.0
79,4.0
80,4.0
81,2.0
82,4.0
83,5.0
84,2.0
85,1.0
86,1.0
87,3.0
88,3.0
89,1.0
90,4.0
91,2.0
92,6.0
93,5.0
94,6.0
95,4.0
96,3.0
97,1.0
98,1.0
99,1.0
100,1.0
101,1.0
102,4.0
103,3.0
104,6.0
105,2.0
106,3.0
107,3.0
108,6.0
109,2.0
110,5.0
111,1.0
112,2.0
113,3.0
114,3.0
115,3.0
116,4.0
117,3.0
118,1.0
119,5.0
120,4.0
121,2.0
122,3.0
123,3.0
124,5.0
125,1.0
126,4.0
127,3.0
128,1.0
129,3.0
130,1.0
131,4.0
132,2.0
133,5.0
134,2.0
135,4.0
136,3.0
137,1.0
138,1.0
139,2.0
140,2.0
141,1.0
142,3.0
143,1.0
144,1.0
145,4.0
146,3.0
147,5.0
148,1.0
149,3.0
150,1.0
151,4.0
152,3.0
153,2.0
154,5.0
155,1.0
156,1.0
157,3.0
158,2.0
159,4.0
160,1.0
161,1.0
162,2.0
163,5.0
164,1.0
165,4.0
166,1.0
167,1.0
168,4.0
169,4.0
170,3.0
171,5.0
172,4.0
173,5.0
174,1.0
175,4.0
176,2.0
177,2.0
178,1.0
179,7.0
180,2.0
181,6.0
182,1.0
183,2.0
184,1.0
185,4.0
186,1.0
187,3.0
188,1.0
189,6.0
190,4.0
191,3.0
192,1.0
193,4.0
194,2.0
195,3.0
196,3.0
197,2.0
198,2.0
199,5.0
200,4.0
201,2.0
202,6.0
203,3.0
204,4.0
205,2.0
206,2.0
207,4.0
208,2.0
