,leq_mean,leq_var,leq_std,leq_max,leq_10,leq_25,leq_median,leq_75,leq_90,leq_10_90,loudness_mean,loudness_var,loudness_std,loudness_max,loudness_10,loudness_25,loudness_median,loudness_75,loudness_90,loudness_10_90,roughness_mean,roughness_var,roughness_std,roughness_max,roughness_10,roughness_25,roughness_median,roughness_75,roughness_90,roughness_10_90,sharpness_mean,sharpness_var,sharpness_std,sharpness_max,sharpness_10,sharpness_25,sharpness_median,sharpness_75,sharpness_90,sharpness_10_90,fluct_mean,fluct_var,fluct_std,fluct_max,fluct_10,fluct_25,fluct_median,fluct_75,fluct_90,fluct_10_90,tonality_mean,tonality_var,tonality_std,tonality_max,tonality_10,tonality_25,tonality_median,tonality_75,tonality_90,tonality_10_90,声音类别
0,62.22406,4.36296,2.08926,65.97971,58.77434,61.1447,62.42007,63.52862,65.1505,6.37617,14.92267,4.5122,2.12815,19.97,11.7025,13.725,14.91,16.32,17.83,6.1275,2.03618,0.02311,0.15203,2.38588,1.81052,1.94397,2.0343,2.15379,2.23454,0.42402,2.77085,0.01757,0.13279,3.06609,2.59293,2.68307,2.76793,2.87227,2.94072,0.3478,0.00366,0,0.00106,0.00679,0.00261,0.00298,0.00345,0.00388,0.0054,0.00279,0.02181,0.00077,0.02775,0.13018,0,0,0,0.04028,0.06003,0.06003,1
1,58.30122,2.9724,1.72446,64.99294,56.03549,57.02194,58.35426,59.36934,60.34531,4.30981,10.5587,4.03864,2.01338,21.99,8.4965,9.142,10.184,11.908,12.9855,4.489,3.83432,0.45982,0.67812,6.44062,3.09469,3.35667,3.74078,4.10528,4.73946,1.64476,2.89377,0.14725,0.38444,3.80107,2.53026,2.61073,2.72893,3.12736,3.55232,1.02206,0.12986,0.00493,0.07025,0.26337,0.05118,0.06525,0.11788,0.1835,0.23796,0.18679,0.01756,0.00042,0.0205,0.09433,0,0,0.01055,0.03025,0.04592,0.04592,2
2,63.25763,5.06153,2.25031,67.98991,60.5489,61.33234,62.81988,65.13436,66.50536,5.95646,15.37334,6.52543,2.55925,22.96,12.35,13.223,14.771,17.42,18.94,6.59,2.29058,0.01489,0.12204,2.59182,2.13643,2.19164,2.28204,2.38586,2.4515,0.31508,2.61868,0.03232,0.1801,3.10318,2.39559,2.47658,2.59549,2.7518,2.86407,0.46848,0.00475,0,0.00085,0.00635,0.00356,0.00401,0.00471,0.00531,0.00605,0.00248,0.02209,0.0008,0.0283,0.15506,0,0,0,0.03896,0.06055,0.06055,3
3,49.54531,2.41504,1.5544,54.61834,47.61005,48.37387,49.421,50.51823,51.56584,3.95579,5.70276,0.30023,0.54896,7.665,5.077,5.304,5.653,6.024,6.4095,1.3325,1.00769,0.00263,0.0513,1.14631,0.94778,0.97157,1.00459,1.03643,1.08111,0.13333,3.6883,0.0453,0.21323,4.24505,3.41545,3.55732,3.68879,3.82033,3.96366,0.54821,0.01039,0.00003,0.00576,0.02317,0.00396,0.00505,0.01005,0.01424,0.01984,0.01588,0.03241,0.00099,0.03152,0.12407,0,0,0.03133,0.05446,0.07452,0.07452,4
4,64.10891,2.60327,1.61384,68.76455,62.09314,62.74036,64.04942,65.37431,66.31086,4.21772,14.86526,2.91089,1.70931,20.31,12.5225,13.467,14.957,16.01,17.05,4.5275,2.16257,0.01684,0.12978,2.5984,1.9729,2.08937,2.17578,2.24143,2.30295,0.33005,2.18018,0.00993,0.09981,2.61566,2.05876,2.12159,2.17838,2.22989,2.2883,0.22954,0.00739,0.00001,0.00329,0.01452,0.00388,0.00447,0.00603,0.01028,0.0125,0.00862,0.02217,0.00069,0.02638,0.11895,0,0,0.0142,0.03941,0.06104,0.06104,5
5,56.89841,0.5771,0.75985,59.38163,55.88543,56.34721,56.87827,57.40981,57.89574,2.01031,10.12941,0.52994,0.72933,11.911,9.144,9.588,10.169,10.652,11.045,1.901,1.76637,0.00608,0.07798,1.97786,1.67419,1.70502,1.75983,1.82345,1.86925,0.19506,2.97539,0.01244,0.11175,3.23305,2.83689,2.9179,2.97712,3.04889,3.1112,0.27431,0.03065,0.00012,0.01098,0.05429,0.01523,0.02297,0.03026,0.03768,0.04557,0.03034,0.03294,0.00045,0.02129,0.14065,0.01158,0.01845,0.02729,0.04355,0.06209,0.0505,6
6,44.69466,3.12744,1.76887,53.35157,43.21073,43.59442,44.20708,45.48095,46.24068,3.02995,3.96835,0.19438,0.44171,5.552,3.4615,3.659,3.921,4.225,4.5855,1.124,1.11544,0.01007,0.10038,1.62555,1.01159,1.05269,1.10382,1.16212,1.23188,0.22028,2.14342,0.01578,0.12585,2.58894,2.00984,2.07852,2.14271,2.20821,2.28776,0.27792,0.00546,0.00001,0.00276,0.01261,0.00296,0.00353,0.00423,0.00708,0.01029,0.00733,0.02623,0.00109,0.03305,0.23425,0,0,0.01223,0.04517,0.06978,0.06978,7
7,55.77313,8.69354,2.94917,66.14181,52.34382,53.58504,55.12331,58.06564,59.94658,7.60276,9.06372,6.72817,2.59871,25.47,6.659,7.269,8.273,10.164,11.9835,5.3245,4.0623,1.58199,1.25781,8.50658,2.57979,3.11771,3.83958,4.85041,5.91572,3.33593,2.89196,0.02265,0.15078,3.48866,2.69509,2.80464,2.88894,2.98193,3.06656,0.37146,0.04921,0.00044,0.02111,0.09155,0.0241,0.03412,0.04246,0.06502,0.08107,0.05697,0.0109,0.00037,0.0193,0.11721,0,0,0,0.01752,0.04164,0.04164,8
8,33.9667,2.98969,1.72947,39.2252,31.73146,32.75636,33.97321,35.16099,36.14494,4.41348,1.43943,0.11613,0.34142,2.66,1.0445,1.218,1.381,1.626,1.87,0.8255,0.06653,0.00691,0.08314,0.56977,0.00129,0.00805,0.04195,0.10041,0.14579,0.1445,1.92215,0.09194,0.30378,3.09303,1.62242,1.71045,1.86408,2.08817,2.34084,0.71841,0.00929,0.00001,0.00248,0.01351,0.00519,0.00819,0.0095,0.01126,0.01244,0.00726,0.04785,0.00335,0.05796,0.43118,0,0,0.03234,0.06977,0.11713,0.11713,9
9,49.81348,1.525,1.2352,53.9351,48.16479,49.02908,49.7595,50.54355,51.36056,3.19577,6.32352,0.4935,0.7038,8.544,5.475,5.817,6.212,6.737,7.253,1.778,1.27195,0.00307,0.05542,1.42444,1.20084,1.22844,1.27326,1.31226,1.34057,0.13974,2.7051,0.08615,0.29406,3.48961,2.36821,2.46573,2.64815,2.93019,3.1403,0.77208,0.00992,0.00001,0.00368,0.01674,0.0054,0.00653,0.00958,0.01264,0.01582,0.01042,0.0641,0.00205,0.04541,0.22854,0,0.03062,0.05937,0.09517,0.11889,0.11889,10
