,leq_mean,leq_var,leq_std,leq_max,leq_10,leq_25,leq_median,leq_75,leq_90,leq_10_90,loudness_mean,loudness_var,loudness_std,loudness_max,loudness_10,loudness_25,loudness_median,loudness_75,loudness_90,loudness_10_90,roughness_mean,roughness_var,roughness_std,roughness_max,roughness_10,roughness_25,roughness_median,roughness_75,roughness_90,roughness_10_90,sharpness_mean,sharpness_var,sharpness_std,sharpness_max,sharpness_10,sharpness_25,sharpness_median,sharpness_75,sharpness_90,sharpness_10_90,fluct_mean,fluct_var,fluct_std,fluct_max,fluct_10,fluct_25,fluct_median,fluct_75,fluct_90,fluct_10_90,tonality_mean,tonality_var,tonality_std,tonality_max,tonality_10,tonality_25,tonality_median,tonality_75,tonality_90,tonality_10_90,声音类别
0,59.50649,14.85714,3.85539,65.60526,54.27065,57.80889,59.6364,62.39278,64.61614,10.34549,12.49276,8.73772,2.96149,19,8.568,10.906,12.41,14.458,16.66,8.092,1.8722,0.06961,0.26384,2.42404,1.54297,1.73335,1.84261,2.06463,2.24078,0.69782,2.64077,0.01918,0.13874,2.97499,2.47063,2.54273,2.62991,2.72544,2.84525,0.37462,0.0166,0.0007,0.02646,0.10309,0.00309,0.00344,0.00479,0.00902,0.06833,0.06524,0.02204,0.00074,0.02719,0.16835,0,0,0.00503,0.04165,0.05783,0.05783,1
1,57.97744,4.02722,2.00726,66.00974,55.39248,56.57516,57.9888,59.23366,60.2577,4.86521,10.32797,5.10937,2.26462,21.08,7.988,8.739,9.8685,11.605,13.014,5.026,4.02268,1.07237,1.03558,8.64291,3.07217,3.41585,3.84801,4.28759,5.4001,2.32792,2.84965,0.12784,0.35821,3.74224,2.50326,2.58205,2.70955,3.05474,3.47073,0.96746,0.07983,0.00284,0.05332,0.18162,0.02305,0.03645,0.06183,0.12346,0.16805,0.145,0.01607,0.00038,0.01958,0.08833,0,0,0.00852,0.02839,0.04431,0.04431,2
2,61.17166,1.69235,1.30121,64.17803,59.60777,60.23635,61.04264,62.06697,63.07716,3.46939,13.03484,1.47128,1.21523,16.37,11.496,12.171,12.98,13.889,14.6895,3.1935,2.15688,0.04009,0.20022,2.57006,1.97693,2.06234,2.15694,2.27091,2.36888,0.39194,2.4441,0.01221,0.11069,2.77922,2.29271,2.37109,2.44549,2.52126,2.58094,0.28823,0.01369,0.00039,0.01978,0.07788,0.0042,0.00454,0.00513,0.00646,0.05278,0.04858,0.02084,0.00071,0.02677,0.11807,0,0,0,0.03769,0.06267,0.06267,3
3,50.7334,2.16618,1.47214,55.84204,48.99506,49.49251,50.57955,51.80022,52.5682,3.57314,6.0785,0.33617,0.58088,7.852,5.395,5.628,6.024,6.4205,6.895,1.5,1.07213,0.01295,0.11381,1.3404,0.99833,1.0343,1.07644,1.12091,1.16561,0.16728,3.6981,0.05659,0.23833,4.28576,3.37354,3.52484,3.70097,3.86905,4.0163,0.64276,0.0154,0.00016,0.01266,0.05126,0.00356,0.0057,0.01128,0.02062,0.03728,0.03372,0.03866,0.00113,0.03366,0.15933,0,0,0.03597,0.05897,0.08427,0.08427,4
4,64.22419,1.327,1.15222,66.52568,62.70375,63.30162,64.34341,65.16051,65.59438,2.89063,14.92662,1.73249,1.31871,18.16,13.1285,13.9845,14.986,15.8455,16.65,3.5215,2.14405,0.02897,0.17021,2.43767,1.99262,2.07369,2.15253,2.22972,2.30772,0.3151,2.18369,0.01073,0.10379,2.49543,2.06395,2.11567,2.17242,2.22859,2.3474,0.28344,0.01592,0.00058,0.02418,0.09482,0.00328,0.00416,0.00598,0.00777,0.06332,0.06004,0.02598,0.00084,0.02908,0.1171,0,0,0.02169,0.04653,0.06392,0.06392,5
5,56.98758,0.43746,0.66156,59.0218,56.14983,56.55852,56.9589,57.37909,57.80674,1.65691,10.16539,0.42004,0.64932,12.076,9.2885,9.727,10.1785,10.605,10.9715,1.683,1.75387,0.01956,0.13986,2.16162,1.65808,1.6986,1.75555,1.80428,1.86893,0.21085,3.01236,0.00966,0.09847,3.28331,2.89199,2.94567,3.01746,3.08045,3.12977,0.23778,0.02523,0.00013,0.01162,0.05007,0.01082,0.01698,0.02509,0.03456,0.0397,0.02888,0.0362,0.00044,0.02108,0.11235,0.01324,0.02028,0.03139,0.04858,0.06727,0.05403,6
6,47.66313,9.05023,3.00906,56.81234,43.59501,45.38988,47.57796,49.43291,51.57189,7.97688,4.42993,0.67043,0.82033,7.174,3.4675,3.806,4.3205,4.8835,5.5205,2.053,1.23098,0.03134,0.17704,1.61338,1.01711,1.15277,1.25874,1.334,1.4151,0.39799,1.96122,0.04179,0.20481,2.39391,1.66557,1.82332,1.98129,2.12131,2.20041,0.53484,0.02668,0.00054,0.02324,0.10048,0.00808,0.01358,0.01821,0.03065,0.06916,0.06108,0.03515,0.00212,0.04611,0.28286,0,0,0.0256,0.05091,0.08237,0.08237,7
7,59.75974,9.42464,3.07067,68.28062,55.77715,57.51809,59.63779,61.95903,63.75478,7.97763,12.1728,9.1381,3.02858,25.51,8.868,9.9165,11.6805,13.87,15.792,6.924,4.33817,1.44678,1.20286,8.42486,3.00122,3.51525,4.27752,4.97085,5.81094,2.80972,2.9391,0.01476,0.12172,3.36498,2.79148,2.8523,2.93636,3.01386,3.09385,0.30237,0.03857,0.00023,0.01527,0.07594,0.02223,0.03151,0.03811,0.04572,0.054,0.03177,0.00831,0.00026,0.01604,0.08153,0,0,0,0.01204,0.03106,0.03106,8
8,35.07105,11.5054,3.39275,49.07005,31.42456,32.64859,34.66702,36.45235,38.95779,7.53322,1.70789,0.65115,0.80845,7.73,1.059,1.2345,1.4815,1.901,2.516,1.457,0.19233,0.13563,0.36829,2.27357,0.00056,0.00982,0.07661,0.17792,0.44951,0.44895,2.1025,0.08139,0.28582,3.13517,1.76949,1.88126,2.082,2.25742,2.48619,0.71671,0.01795,0.00013,0.01136,0.046,0.00723,0.00769,0.01377,0.02681,0.03333,0.02609,0.03421,0.00172,0.04155,0.20593,0,0,0.02169,0.05648,0.09266,0.09266,9
9,49.95012,2.3167,1.52242,54.24969,48.18419,48.71927,49.73946,50.87267,52.16766,3.98347,6.49093,0.60708,0.78061,9.061,5.6825,5.883,6.295,7.002,7.51,1.8275,1.29931,0.02187,0.14789,1.96214,1.19693,1.23533,1.28834,1.35189,1.42545,0.22851,2.84028,0.04511,0.2128,3.53194,2.57213,2.68305,2.83523,2.96769,3.11568,0.54355,0.01332,0.00017,0.01323,0.05494,0.00362,0.00535,0.00962,0.0126,0.03889,0.03528,0.06194,0.00216,0.04661,0.24866,0,0.02924,0.05598,0.09425,0.1147,0.1147,10
10,24.73299,8.49291,2.91494,31.41929,20.97061,22.61631,23.98954,27.16155,28.81845,7.84784,0.31713,0.04192,0.20512,1.185,0.1305,0.1665,0.2595,0.405,0.5935,0.463,0.00097,0.00003,0.00526,0.05267,0,0,0,0,0.00012,0.00012,1.9394,0.58636,0.76717,3.98196,1.07419,1.45737,1.89477,2.4191,2.95886,1.88467,0.01363,0.00012,0.01111,0.04321,0.00321,0.00637,0.00879,0.02051,0.03237,0.02916,0.03765,0.00439,0.06637,0.36169,0,0,0.00554,0.04063,0.13349,0.13349,11
11,45.17187,3.49464,1.86983,51.28468,43.09324,43.82901,44.67047,46.43837,47.84175,4.74851,4.18866,0.47999,0.69411,6.612,3.4565,3.725,4.0395,4.4665,5.086,1.6295,1.3811,0.2187,0.46767,2.68369,1.01484,1.07164,1.18505,1.61506,2.13331,1.11847,2.18105,0.03755,0.19413,2.79246,1.93181,2.06101,2.17684,2.30467,2.42052,0.4887,0.01305,0.00007,0.00832,0.03507,0.00673,0.00734,0.01076,0.01502,0.0281,0.02138,0.02568,0.00087,0.02956,0.18682,0,0,0.01905,0.0455,0.06933,0.06933,12
