id,file_name,place,create_time,Leq,Pctn,陶模型判定,新模型输出,抽样,
2,Record85823,M01,2021/11/6 11:36:47,54.3125,0.146498,3,2.76453,1,1
4,Record85826,M01,2021/11/6 11:42:46,55.2321,0.205802,3,4.6319,2,2
6,Record85828,M01,2021/11/6 11:46:46,50.5334,0.361827,3,2.76453,3,3
66,Record85897,M01,2021/11/6 14:04:43,50.2061,0.406511,3,4.28875,4,4
119,Record85955,M01,2021/11/6 16:00:43,50.8922,0.410303,3,4.6319,5,5
137,Record85974,M01,2021/11/6 16:38:46,50.6342,0.629933,3,4.87117,6,6
138,Record85975,M01,2021/11/6 16:40:44,54.3567,0.547074,3,4.6319,7,7
159,Record85999,M01,2021/11/6 17:28:43,50.0326,0.417594,3,4.3769,8,8
168,Record86009,M01,2021/11/6 17:48:43,50.4466,0.608252,3,2.76453,9,9
172,Record86013,M01,2021/11/6 17:56:43,52.0417,0.469191,3,4.28875,10,0
209,Record86055,M01,2021/11/6 19:20:43,54.0849,0.588691,3,4.3769,11,1
216,Record86063,M01,2021/11/6 19:36:45,50.9904,0.394341,3,2.76453,12,2
227,Record86075,M01,2021/11/6 20:00:43,51.81,0.601428,3,4.3872,13,3
242,Record86091,M01,2021/11/6 20:32:45,51.178,0.29237,3,5.34016,14,4
254,Record86103,M01,2021/11/6 20:56:44,50.8764,0.136588,3,4.39024,15,5
261,Record86110,M01,2021/11/6 21:10:44,50.131,0.247826,3,4.39024,16,6
273,Record86122,M01,2021/11/6 21:34:44,50.9344,0.371154,3,4.39024,17,7
289,Record86138,M01,2021/11/6 22:06:44,50.8754,0.385261,3,4.39024,18,8
294,Record86143,M01,2021/11/6 22:16:44,51.5817,0.443942,3,5.34016,19,9
295,Record86144,M01,2021/11/6 22:18:44,53.7633,0.306732,3,5.34016,20,0
296,Record86145,M01,2021/11/6 22:20:44,53.2422,0.240092,3,4.17213,21,1
297,Record86146,M01,2021/11/6 22:22:45,55.7322,0.292217,3,5.34016,22,2
298,Record86147,M01,2021/11/6 22:24:45,52.4712,0.403906,3,5.34016,23,3
