order,leq_mean,leq_var,leq_std,leq_max,leq_10,leq_25,leq_median,leq_75,leq_90,leq_10-leq_90,loudness_mean,loudness_var,loudness_std,loudness_max,loudness_10,loudness_25,loudness_median,loudness_75,loudness_90,loudness_10-loudness_90,roughness_mean,roughness_var,roughness_std,roughness_max,roughness_10,roughness_25,roughness_median,roughness_75,roughness_90,roughness_10-roughness_90,sharpness_mean,sharpness_var,sharpness_std,sharpness_max,sharpness_10,sharpness_25,sharpness_median,sharpness_75,sharpness_90,sharpness_10-sharpness_90,fluct_mean,fluct_var,fluct_std,fluct_max,fluct_10,fluct_25,fluct_median,fluct_75,fluct_90,fluct_10-fluct_90,tonality_mean,tonality_var,tonality_std,tonality_max,tonality_10,tonality_25,tonality_median,tonality_75,tonality_90,tonality_10-tonality_90,score
1,64.66645,2.44902,1.56539,68.81651,62.72838,63.35437,64.54813,65.57262,66.87221,4.14383,17.7549,3.47748,1.86917,24.16,15.7515,16.255,17.285,18.91,20.195,4.4435,2.17955,0.05929,0.2435,3.26228,2.00974,2.06428,2.14585,2.26376,2.38926,0.37952,3.4183,0.04768,0.21886,4.17458,3.14906,3.27257,3.39873,3.52482,3.71207,0.56301,0.02187,0.00049,0.02207,0.08353,0.00515,0.00783,0.01473,0.01984,0.06786,0.06271,0.05675,0.00173,0.0417,0.18551,0,0.02823,0.05316,0.08016,0.11041,0.11041,5.95492
2,64.46865,4.52177,2.12706,68.13405,61.90404,63.42707,64.53042,65.95546,67.27144,5.3674,15.93369,4.05278,2.01787,21.84,13.4955,14.9885,16.105,17.095,18.195,4.6995,2.34253,0.08674,0.29453,2.9458,2.05411,2.16803,2.35296,2.57211,2.6404,0.58629,2.59361,0.02197,0.14856,2.96436,2.40017,2.48876,2.60305,2.71531,2.77142,0.37124,0.01954,0.00053,0.02314,0.08714,0.00503,0.0068,0.00986,0.01506,0.06792,0.0629,0.07857,0.00148,0.0386,0.22389,0.03691,0.05377,0.07142,0.09646,0.12822,0.09131,4.87705
3,62.65053,7.38417,2.71845,73.26871,59.66847,60.37409,62.2064,64.26367,66.67391,7.00544,14.61514,5.81866,2.4278,21.82,12.253,12.6235,14.123,15.6805,18.03,5.777,2.02092,0.06734,0.2595,2.55899,1.78612,1.87404,2.02241,2.15831,2.31495,0.52883,2.43511,0.02169,0.14823,2.80938,2.29563,2.33812,2.39759,2.46794,2.70949,0.41386,0.02493,0.00099,0.03142,0.10908,0.00339,0.00583,0.00735,0.03699,0.0789,0.07551,0.03378,0.00086,0.0296,0.09787,0,0,0.03544,0.05589,0.07545,0.07545,4.53279
4,64.14055,7.16172,2.67668,70.41818,60.83742,62.631,63.85893,65.68914,67.91712,7.07971,14.42197,5.5379,2.36871,20.61,11.586,12.997,14.036,15.691,17.32,5.734,1.80561,0.07232,0.26894,2.78202,1.51815,1.64876,1.81168,1.94465,2.07212,0.55397,2.26955,0.06774,0.26197,2.77669,1.88196,2.12405,2.27903,2.47014,2.58911,0.70715,0.06619,0.0006,0.02455,0.12029,0.04797,0.05699,0.06786,0.07799,0.09109,0.04313,0.07578,0.00292,0.05435,0.24121,0,0.03825,0.06447,0.11175,0.14294,0.14294,4.97951
5,64.21175,7.04826,2.65563,68.95757,60.96865,61.74495,63.99769,66.86936,67.51131,6.54266,16.29315,9.65347,3.11429,22.65,12.744,13.519,15.6545,19.235,20.55,7.806,2.25994,0.0842,0.29018,2.74414,1.96331,2.04924,2.20169,2.52397,2.60876,0.64545,2.68957,0.05556,0.23626,3.28861,2.41235,2.48971,2.62854,2.89199,3.01926,0.60691,0.02198,0.00063,0.02504,0.09366,0.00616,0.00847,0.01029,0.0231,0.07314,0.06698,0.03665,0.00264,0.05147,0.41853,0,0,0.02797,0.05282,0.08091,0.08091,6.12295
6,63.0048,18.96878,4.35658,71.86249,56.86812,59.15018,63.38451,65.9743,69.3066,12.43849,13.41019,9.61724,3.10844,21.1,9.8405,10.7665,12.5745,15.3815,18.45,8.6095,1.95413,0.09332,0.3055,2.60061,1.62293,1.72269,1.93306,2.11898,2.42583,0.8029,2.32214,0.03095,0.17634,2.75983,2.09014,2.18418,2.3204,2.45648,2.56125,0.47111,0.0362,0.0012,0.03461,0.13938,0.01337,0.01629,0.02151,0.03824,0.10294,0.08957,0.02511,0.00086,0.02942,0.13673,0,0,0.01779,0.0445,0.06872,0.06872,5.52049
7,63.08474,0.28492,0.53393,64.97421,62.55001,62.74547,62.97816,63.31137,63.86917,1.31915,15.57728,0.59692,0.77442,18.83,14.718,15.1375,15.4155,16.0015,16.48,1.762,2.13409,0.03445,0.1856,2.71834,2.00694,2.06863,2.12706,2.19907,2.29779,0.29085,3.53939,0.0128,0.11342,3.959,3.39383,3.45572,3.53974,3.62768,3.68747,0.29363,0.01478,0.00031,0.01752,0.06349,0.00494,0.00537,0.00667,0.01228,0.05249,0.04755,0.02255,0.00063,0.02522,0.09666,0,0,0.01598,0.04169,0.05907,0.05907,5.96311
8,64.4652,3.80047,1.95005,70.68342,62.70683,63.09469,63.77281,65.14159,67.49532,4.78849,17.15998,7.01934,2.65562,27.48,14.8405,15.384,16.235,17.915,21.11,6.2695,2.4877,0.16295,0.40368,3.71242,2.14946,2.24288,2.42093,2.63087,3.01852,0.86906,3.22409,0.01935,0.13942,3.79082,3.06876,3.14773,3.2148,3.28121,3.374,0.30523,0.01626,0.00033,0.01806,0.06654,0.00586,0.0066,0.00781,0.01198,0.0552,0.04934,0.02161,0.00051,0.02254,0.09767,0,0,0.02005,0.03813,0.05163,0.05163,5.89754
9,64.522,3.75489,1.93832,70.39539,62.23158,63.09156,64.24442,65.76459,67.20559,4.97401,16.37219,5.46083,2.34232,27.05,13.967,14.896,15.841,17.3,19.685,5.718,2.92912,0.87002,0.93278,5.29024,2.15432,2.28309,2.45865,3.56517,4.39863,2.24432,2.71368,0.04171,0.20472,3.42727,2.4792,2.5994,2.69396,2.82943,2.95499,0.47579,0.02515,0.00023,0.01512,0.06081,0.0119,0.01606,0.02112,0.0295,0.05397,0.04207,0.02473,0.0007,0.02645,0.12838,0,0,0.01994,0.04301,0.06207,0.06207,4.79508
10,64.72696,2.35864,1.53623,69.71812,62.91549,63.38778,64.63203,65.84231,66.61234,3.69685,15.78187,1.87113,1.3711,20.16,14.3085,14.6905,15.658,16.515,17.76,3.4515,1.84579,0.02141,0.14634,2.09623,1.74805,1.7912,1.84932,1.92085,1.96242,0.21437,4.26977,0.06597,0.25746,5.02189,3.95477,4.08972,4.25024,4.43871,4.59336,0.63859,0.02368,0.00043,0.02069,0.07647,0.00491,0.00701,0.01647,0.03294,0.063,0.05808,0.03309,0.0009,0.03015,0.14705,0,0,0.03078,0.05272,0.07101,0.07101,6.67213
