name,leq_mean,leq_var,leq_std,leq_max,leq_10,leq_25,leq_median,leq_75,leq_90,leq_10-leq_90,loudness_mean,loudness_var,loudness_std,loudness_max,loudness_10,loudness_25,loudness_median,loudness_75,loudness_90,loudness_10-loudness_90,roughness_mean,roughness_var,roughness_std,roughness_max,roughness_10,roughness_25,roughness_median,roughness_75,roughness_90,roughness_10-roughness_90,sharpness_mean,sharpness_var,sharpness_std,sharpness_max,sharpness_10,sharpness_25,sharpness_median,sharpness_75,sharpness_90,sharpness_10-sharpness_90,fluct_mean,fluct_var,fluct_std,fluct_max,fluct_10,fluct_25,fluct_median,fluct_75,fluct_90,fluct_10-fluct_90,tonality_mean,tonality_var,tonality_std,tonality_max,tonality_10,tonality_25,tonality_median,tonality_75,tonality_90,tonality_10-tonality_90
Record85823.xls,54.31252766,53.64702571,7.324738574,69.62536621,44.74221802,46.71183777,55.22962952,60.54804611,64.00964737,19.26742935,7.03813452,11.77508582,3.432706313,17.76000023,3.580500007,3.994999886,6.03000021,9.583000183,12.39749956,8.816999555,1.113311913,0.059891223,0.2447287,1.912802935,0.870218903,0.92682302,1.052630723,1.256073058,1.417745352,0.547526449,1.380359612,0.039600179,0.199068794,2.390238285,1.156366467,1.229568362,1.349798203,1.499397397,1.618689299,0.462322831,0.009444895,9.17E-05,0.009578154,0.070230938,0.003428673,0.004470025,0.006851605,0.010987442,0.015165341,0.011736668,0.070057642,0.003438732,0.058661581,0.291835159,0,0.019539345,0.063938618,0.109481454,0.149417348,0.149417348
Record85826.xls,55.23212998,28.29144543,5.319206771,69.07199097,47.74923325,50.33118439,56.14137268,59.35868835,62.04826546,14.29903221,6.822644844,4.935876077,2.22247422,15.52299976,4.117500067,4.947999954,6.616000175,8.286000252,9.897500038,5.779999971,1.32695108,0.099101953,0.314807029,2.303447962,0.905883402,1.044841588,1.363439381,1.544918001,1.720560372,0.81467697,1.291779633,0.034953474,0.18702505,2.238035202,1.087916195,1.140043616,1.261259913,1.396820784,1.562900424,0.474984229,0.013368105,8.65E-05,0.009304214,0.068810366,0.005716992,0.007572802,0.01171386,0.014903089,0.022146224,0.016429232,0.090861828,0.003873803,0.06226204,0.338405132,0,0.046919357,0.084511213,0.1289711,0.17675776,0.17675776
Record85828.xls,50.53341934,16.90974155,4.112328404,61.36619186,44.8960228,47.53715515,50.34747696,53.67477798,55.72146606,10.82544327,4.93900854,1.211566149,1.101103577,9.491999626,3.61499989,4.081999779,4.789000034,5.624000072,6.352499962,2.737500072,1.021735434,0.021497113,0.146620056,1.531516075,0.862108678,0.924594223,1.010159969,1.115057349,1.207830131,0.345721453,1.522766455,0.078001873,0.279387597,2.674691439,1.18617779,1.320181966,1.486722589,1.696983457,1.887668073,0.701490283,0.012309054,6.23E-05,0.007892977,0.055729631,0.005281928,0.007232309,0.009955725,0.015597917,0.020528224,0.015246297,0.076517394,0.004034838,0.063542992,0.352343351,0,0.028660128,0.067247361,0.114759035,0.16208902,0.16208902
Record85897.xls,50.20605554,10.63150307,3.260743513,62.28842545,46.10568428,47.74913788,49.96953583,52.37166214,54.48744583,8.381761551,4.773031316,0.914655502,0.956716764,8.831999779,3.676500082,4.104000092,4.618000031,5.288000107,6.060499907,2.383999825,1.043919594,0.019471542,0.139541533,1.453396559,0.886413783,0.948684931,1.037014186,1.137723505,1.214637697,0.328223914,1.436900619,0.061609038,0.248300059,2.741999865,1.180906236,1.267319202,1.385254622,1.551201463,1.746410787,0.565504551,0.011625205,9.31E-05,0.009651841,0.072869316,0.00479495,0.006655786,0.010063629,0.013122546,0.016476464,0.011681514,0.058165925,0.002846201,0.053368791,0.345522165,0,0.010537364,0.050323125,0.090587437,0.129303142,0.129303142
Record85955.xls,50.89221658,29.39736605,5.422174805,62.93730545,42.56941795,46.0399437,52.62314987,55.33442688,57.2640419,14.69462395,5.099866185,2.444381243,1.564008394,10.98200035,3.082499981,3.723999977,5.112999916,6.177999973,7.140000105,4.057500124,0.944335634,0.040011144,0.200029385,1.517354727,0.700226068,0.795618534,0.941037744,1.079247057,1.208919525,0.508693457,1.382440258,0.106678562,0.326733139,3.432548523,1.085634589,1.147572875,1.306133628,1.525871158,1.746092796,0.660458207,0.013993893,7.11E-05,0.008433919,0.052538678,0.005779409,0.007499078,0.012807721,0.017470486,0.022337678,0.016558269,0.094428654,0.006525345,0.080808372,0.520856142,0,0.035899054,0.081287876,0.134715945,0.191421799,0.191421799
Record85974.xls,50.63416802,8.700185382,2.94973878,57.09600449,45.83625603,49.14633179,51.37196732,52.64165497,53.92810249,8.091846466,5.467914596,1.521947209,1.234111509,10.19099998,3.860000014,4.657000065,5.367000103,6.156000137,7.08949995,3.229499936,1.176310059,0.043582612,0.208766083,1.924895883,0.93309769,1.029954433,1.156565607,1.311591804,1.454575539,0.521477848,1.83608914,0.165464942,0.406918658,3.204922438,1.351032376,1.51965344,1.779033184,2.092074633,2.430523872,1.079491496,0.020869518,8.71E-05,0.009336088,0.053997084,0.010381075,0.014326751,0.019574856,0.027253467,0.032396207,0.022015132,0.062221529,0.002478993,0.049807219,0.35821563,0.007125443,0.019329043,0.055262983,0.092397511,0.131536201,0.124410758
Record85975.xls,54.35668765,27.50489184,5.244743764,63.90364075,46.24887848,50.2624321,55.26908875,58.77636719,60.83765411,14.58877563,7.301903915,5.820242531,2.413376888,14.65799999,3.848999977,5.461999893,7.428999901,9.112000465,10.41900015,6.570000172,1.35065964,0.085312285,0.292084897,2.038170576,0.967096239,1.140750229,1.336660743,1.581062436,1.740096867,0.773000628,1.750863666,0.153606104,0.392065696,3.151180267,1.326107025,1.43582952,1.670010924,1.968412042,2.301046252,0.974939227,0.019437803,8.36E-05,0.009145781,0.05747151,0.009696893,0.012639293,0.018266866,0.02423539,0.030638108,0.020941215,0.07119352,0.002665232,0.05164427,0.31752795,0.008105453,0.030026117,0.065679215,0.102411076,0.143901847,0.135796394
Record85999.xls,50.03261237,10.11070775,3.179875256,66.59222412,45.74982262,47.41326904,50.48823929,52.27684402,53.41828156,7.668458939,5.081236301,1.239861641,1.113887217,16.56999969,4.018000126,4.431000233,5.03000021,5.505000114,6.053500175,2.03550005,1.06735851,0.01864646,0.136553084,1.969696879,0.954541922,1.00096935,1.051107824,1.110099137,1.18595165,0.231409729,1.611284239,0.039890737,0.199797771,2.850755453,1.40078187,1.46619761,1.579113007,1.722979546,1.84491539,0.44413352,0.009997199,9.10E-05,0.009540047,0.06099752,0.004443162,0.005480278,0.007061868,0.010724526,0.01595189,0.011508728,0.063541683,0.003257544,0.057095222,0.520756066,0.002207812,0.017125607,0.052808188,0.092800476,0.136055693,0.133847881
Record86009.xls,50.44663728,15.20262528,3.899227727,58.51416016,45.46970367,46.62273788,50.23333359,54.46115494,55.73810577,10.2684021,5.281824201,1.516743069,1.231999744,11.66600037,3.901499987,4.210000038,5.051000118,6.234000206,6.88499999,2.983500004,1.161684687,0.022233161,0.149109022,1.670594573,0.97542423,1.068210483,1.166885734,1.252089918,1.342173934,0.366749704,1.649152425,0.025906871,0.161013427,2.676556587,1.426044166,1.528545737,1.667279363,1.761741757,1.833830059,0.407785892,0.009344199,0.000145125,0.01204853,0.090642095,0.003511654,0.004170255,0.005721717,0.009321149,0.018080353,0.014568699,0.049019929,0.002407156,0.049080241,0.298906982,0,0,0.040474195,0.075446531,0.115916945,0.115916945
Record86013.xls,52.04169516,9.33875395,3.056073332,62.40441513,48.33053589,49.35652542,51.64988327,54.70756149,56.33395958,8.003423691,5.924373664,1.090767222,1.044769889,16.25,4.81799984,5.222000122,5.760000229,6.462999821,7.162999868,2.345000029,1.241442645,0.023777462,0.1542006,2.024143457,1.086152434,1.159256041,1.229826152,1.307966173,1.394460678,0.308308244,1.667146706,0.046481205,0.215671768,2.318801165,1.397337735,1.492432594,1.649646163,1.825025916,1.960984886,0.563647151,0.013128177,0.000178472,0.013361274,0.078424148,0.006028689,0.007008587,0.008743678,0.010683117,0.025432258,0.019403569,0.062602933,0.003200586,0.056593866,0.357074738,0,0.014588017,0.0551318,0.095269389,0.138599224,0.138599224
